location A,location B,storage name,item,unique_id,quantity
JEL,,biosensors,biosensor unit,HALL_LOG_04,1
JEL,,biosensors,biosensor unit,HALL_LOG_06,1
JEL,,biosensors,biosensor unit,HALL_LOG_07,1
SLS 108,Shelf 7B,Tape Bin,XL gorilla glue,,1/2 roll
SLS 108,Shelf 7B,Tape Bin,duct tape,,2 rolls
SLS 108,Shelf 7B,Tape Bin,electrical tape,,4 rolls
SLS 108,Shelf 7B,Tape Bin,masking tape,,1/2 roll
SLS 108,Shelf 7B,Tape Bin,packing tape,,1/2 roll
SLS 108,Shelf 7B,Glue Bin,hot glue gun,,1 roll
SLS 108,Shelf 7B,Glue Bin,hot glue sticks,,5
SLS 108,Shelf 7B,Glue Bin,Gorilla glue,,x2 1.75 oz
SLS 108,Shelf 7B,Glue Bin,Super glue,,x3 0.88 oz
SLS 108,Shelf 7B,Glue Bin,super glue with brush in bottle,,1
SLS 108,Shelf 7B,Glue Bin,single use super glue,,4
SLS 108,Shelf 7B,Glue Bin,white nail polish,,1
SLS 108,Shelf 7B,"Epoxy tray, yuck",sticky puddy,,"x4, 80 tabs"
SLS 108,Shelf 7B,"Epoxy tray, yuck",plastic weld,,1
SLS 108,Shelf 7B,"Epoxy tray, yuck","Waterproof epoxy, part A",,"x2, 16 oz"
SLS 108,Shelf 7B,"Epoxy tray, yuck","Waterproof epoxy, part B",,"x2, 16 oz"
SLS 108,work bench,Tool box,razor blades,,10
SLS 108,work bench,Tool box,1 inch Phillips screwdriver,,1
SLS 108,work bench,Tool box,1 inch flat screwdriver,,1
SLS 108,work bench,Tool box,"Tubing, pipe cutter",,2
SLS 108,work bench,Tool box,XL pliers,,1
SLS 108,work bench,Tool box,Jaw pliers,,1
SLS 108,work bench,Tool box,Paint scraper,,2
SLS 108,work bench,Tool box,Utility knife,,1
SLS 108,work bench,Tool box,5 x 100 mm flat screw driver,,1
SLS 108,work bench,Tool box,3 x 75 mm flat screw driver,,1
SLS 108,work bench,Tool box,10 x 75 mm phillips head screw driver,,1
SLS 108,work bench,Tool box,Folding hex/allen key set,,2
SLS 108,Shelf 9A,,"Muddy 6"" vented aquarium containers",,16
SLS 108,Cabinet 8 ,Lights,Battery-powered disk lights,,3
SLS 108,Cabinet 8 ,Lights,60W light bulbs,,4
SLS 108,Cabinet 8 ,Lights,13.5W red light bulb,,1
SLS 108,Cabinet 8 ,Lights,Fluker's clamp lamp shield,,5
SLS 108,Drawer 15,,"RITR field notebooks, 7"" spiral bound",,2
SLS 108,Drawer 15,,RITR printing paper,,500+ sheets
SLS 108,Drawer 15,,Scissors,,4
SLS 108,Drawer 15,,Sharpies,,5
SLS 108,Drawer 15,,Aluminum foil,,1 roll
SLS 108,Cabinet 16,,"6"" spring clamps",,2
SLS 108,Cabinet 16,,"6"" trigger clamps",,4
SLS 108,Cabinet 16,,"6"" band clamps",,2
SLS 108,Cabinet 16,,"2 1/2"" pipe cutter",,1
SLS 108,Cabinet 16,Craftsmen red/clear case,Assorted drill bits and impact heads,,1
SLS 108,Cabinet 16,small metal case,Assorted step bits (x4),,1
SLS 108,Shelf 11B,orange boxes,heat guns,,3
SLS 108,Shelf 11A,,"Aquarium heaters, assorted sizes",,8
SLS 108,Shelf 11A,,"Elite radiant aquarium heater, glass",,2
SLS 108,Shelf 11B,,"Roller tubing clamp, 10 mm",,15
SLS 108,Shelf 11B,,"Long aquarium aerator, airstone",,1
SLS 108,Shelf 11B,,stopcock glassware plug,,1
SLS 108,Shelf 11B,,Electrical wall plug timer,,1
SLS 108,Shelf 11B ,,Thermocouple temp probes ,,8
SLS 108,Shelf 10B,,"Assorted storage bins, extra",,many
SLS 108,Shelf 9B,,"Rotary hammer, spare battery, charger",,"1, each"
